month_start,year,month,active_members,classic_members,champion_members,hpic_members,pmp_members,prev_month_members,month_over_month_change
2024-01-01,2024,1,7,0,7,7,7,,
2024-02-01,2024,2,9,0,9,9,9,7,2
2024-03-01,2024,3,9,0,9,9,9,9,0
2024-04-01,2024,4,9,0,9,9,9,9,0
2024-05-01,2024,5,8,0,8,8,8,9,-1
2024-06-01,2024,6,8,0,8,8,8,8,0
2024-07-01,2024,7,12,5,7,12,7,8,4
2024-08-01,2024,8,12,5,7,12,7,12,0
2024-09-01,2024,9,17,10,7,17,7,12,5
2024-10-01,2024,10,18,10,8,18,7,17,1
2024-11-01,2024,11,24,14,10,24,7,18,6
2024-12-01,2024,12,26,16,10,26,7,24,2
2025-01-01,2025,1,29,18,11,29,6,26,3
2025-02-01,2025,2,30,19,11,30,4,29,1
2025-03-01,2025,3,48,33,15,48,4,30,18
2025-04-01,2025,4,64,51,13,64,2,48,16
2025-05-01,2025,5,92,72,20,92,2,64,28
2025-06-01,2025,6,151,108,43,151,2,92,59
2025-07-01,2025,7,184,137,47,184,2,151,33
